id,question,correct_answer,categories
24042,"Which of the following behaviors is considered detrimental to effective communication within a healthcare team?
Options, A: Providing constructive feedback to colleagues; B: Engaging in gossip about team members; C: Actively listening during team meetings; D: Offering support to fellow healthcare professionals;",B,Respect and Cooperate with colleagues
21336,"All are examples of Non-Maleficence (do no harm) except for:
Options, A: Controlled or Restricted acts must not be performed; B: Uphold the reputation of the profession through their conduct; C: Provide safety and trust for patients to share personal and sensitive information with the practitioner; D: Ensuring your own health condition do not effect your patients;",C,"Respect life, dignity of patients;Prevent patient from harm"
21461,"According to the text, what is one of the key ethical obligations in the physician-patient relationship?
Options, A: Patient autonomy; B: Cost reduction; C: Truth-telling; D: Healthcare accessibility;",C,"Maintain truthful, factual communication;Respect the patient’s rights to be informed, informed consent and freedom of choice"
23212,"Which of these is a plausible reason to disclose patient information to a third party without the consent of the patient?
Options, A: When require by law; B: for specialized government functions; C: for public safety; D: all of the above;",D,Comply with laws and regulations;Keep confidential of patient’s information
22681,"A nurse is at a water park with her family. She notices a school-age child drowning and pulls him out of the water. The child is unconscious and has 
Options, A: The nurse was negligent and is not protected under the Good Samaritan Law.; B: The nurse is not protected under the samaritan law because she exceeded her training.; C: The nurse is completely protected under the Good Samaritan Law.; D: The nurse is protected under her own RN license.;",C,Comply with laws and regulations;Provide Assistance in Emergency
22099,"What is implied consent?
Options, A: patients actions permit consent without written or verbal consent; B: consent is given in writing; C: person giving voluntary consent after achieving adequate info about the procedure; D: a legal guardian gives consent;",A,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
24225,"Regarding life-sustaining treatment and a patient's right of self-determination, courts have generally held that:
Options, A: A competent adult does not have the right to refuse medical treatment.; B: An incompetent adult has a right to the withdrawal of medical treatment if that incompetent adult, while competent, expressed his or her wishes and the state now determines that the evidence of those wishes is sufficient.; C: A competent adult gives up the right to refuse medical treatment ifthe physician believes the refusal is morally wrong.; D: A competent adult cannot make healthcare decisions based on his or her religious beliefs.;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients;Respect the decision-making of incompetent/competent patient "
25368,"How is an ethical dilemma similar to the nursing process?
Options, A: Both require a deliberate and systematic plan; B: Both follow a code of ethics; C: Both have many theories; D: Both require education and practice;",A,"Recognize the responsibility, dignity, honesty, integrity of the occupation;Provide professional medical care to patients"
21427,"What is the definition of organ trafficking according to D.A. Budiani-Saberiand F.L. Delmonico?
Options, A: An exchange or receipt of payments for organs donated by individuals from a country not of origin; B: The removal and transferring of someone's organ by means of threat, force, or coercion and to receive payments for the exploitation and the removal of organs, tissues, or cells for transplant; C: The practice of owning one's organs without their consent; D: The distribution of organs by means of slavery and human trafficking in third-world countries;",B,"Respect life, dignity of patients"
22317,"Many family studies employing DNA have the potential to demonstrate nonpaternity. If the physician ordering these analyses does not discuss 
Options, A: Patient confidentiality; B: Patient rights; C: Informed consent; D: Standards of care; E: Malpractice guidelines;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Keep confidential of patient’s information"
24918,"This defines basic ethical principles that should underlie the conduct of biomedical and bevaioral research involving human subjects and developing guidelines to assure that such research is conducted in accordance with those principles. Includes the Common Rule (IRB Review)
Options, A: Nuremberg Code; B: Declaration of Helsinki; C: National Research Act; D: Belmont Report;",D,Ethical research
23514,"What is the definition of beneficence in the context of ethics?
Options, A: To prioritize personal gain; B: To follow strict rules without exception; C: To act with charity and kindness; D: To adhere to cultural norms;",C,"Respect life, dignity of patients;Prevent patient from harm"
20770,"What is a downside of allowing patients access to their medical records?
Options, A: Patients may be able to view their laboratory studies.; B: It improves access to care.; C: Patients may be able to view their upcoming appointments.; D: It improves the accessibility of information.; E: Harmful information may be read by the patient.;",E,Keep confidential of patient’s information;Prevent patient from harm
23476,"A patient with a history of vertigo is experiencing severe nausea. The healthcare provider considers prescribing Zofran. What ethical principle should guide the provider's decision regarding this medication?
Options, A: Beneficence, promoting the patient's well-being; B: Autonomy, respecting the patient's choice; C: Justice, ensuring fair access to medication; D: Nonmaleficence, avoiding harm to the patient;",A,"Respect life, dignity of patients;Prevent patient from harm"
23056,"If a healthcare professional makes a false statement about a colleague in a published article, which of the following factors would most likely support a libel claim?
Options, A: The statement was published without any verification of its truth.; B: The statement was made during a private conversation.; C: The statement was made in jest and not meant to harm.; D: The statement was based on a rumor heard from a patient.;",A,"Maintain truthful, factual communication"
22368,"Patient medical records can be placed in the following areas except:
Options, A: safely locked in your car; B: the intern meeting room; C: treatment rooms (only the chart of the patient being treated); D: behind the front desk with a member of the front desk staff;",A,Comply with laws and regulations;Keep confidential of patient’s information
23621,"Patient confidentiality rules stipulate that information obtained through the interview or examination of a patient may be shared with other persons
Options, A: when the patient of established legal guardian gives permission either in writing or over the phone; B: only when a verbal release is made by the patient or an established legal guardian; C: under no circumstances; D: only when a written release is signed by the patient or an established legal guardian; E: only after the patient's physician signs a release of information form;",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Keep confidential of patient’s information"
23252,"Which provision addresses the nurse's responsibility to promote their own health and safety, maintain competence, and continue personal and professional growth?
Options, A: Provision 8; B: Provision 6; C: Provision 7; D: Provision 5;",D,Continual Learning;Maintain qualified when providing medical care
23637,"In regard to healthcare, justice implies:
Options, A: An enhanced financial burden on the wealthiest citizens; B: Care will be provided only to those with the financial resources; C: Children should receive better care than adults when there are limited resources; D: Equal treatment to all or to those most in need;",D,Allocate medical sources fairly;Treat patients fairly and equally
21324,"Which answer below does NOT apply to confidentiality?
Options, A: The patient can talk to their insurance company about treatment; B: The dental office does not disclose personal information about the patient; C: The patient must give written permission to have information released to others; D: The patient has a right to privacy;",A,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Keep confidential of patient’s information;Respect life, dignity of patients"
21331,"The concept of ""Justice"", as defined by our text author Perrin, has to do with
Options, A: assuring that each individual in a research situation is treated with respect and given adequate information in order to make an informed decision.; B: refraining from causing harm or acting with ill intent toward a experimental subject.; C: creating a relationship of uneven power between a health care provider and patient, or a researcher and participant.; D: assuring that there is a fair distribution of burden and benefits so that every person with the same condition has an equal chance of benefitting from the treatment.;",D,Allocate medical sources fairly;Treat patients fairly and equally
23130,"The ANA (American Nurses Association) and the CNA (Canadian Nurses Association) have both adopted a code of ethics. Which of the following describes characteristics of a code of ethics?
Options, A: Formal statement; B: Serves as a standard for professional actions; C: Shared by group members; D: Reflects legal judgments; E: Same standards as legal standards;",B,"Recognize the responsibility, dignity, honesty, integrity of the occupation"
20602,"All of these are Principles of Medical Ethics EXCEPT:
Options, A: Honesty; B: Beneficence; C: Autonomy; D: Social Justice;",A,Treat patients fairly and equally
22490,"When solving an ethical dilemma, the selected course of action should be guided by ethical principles. The steps in decision making include identifying the problem, gathering the facts, list the alternatives, select the course of action, act on the decision, and evaluate the action.
Options, A: The first statement is true, the second is false; B: The first statement is false, the second is true; C: Both statements are false; D: Both statements are true;",D,"Respect life, dignity of patients;Recognize the responsibility, dignity, honesty, integrity of the occupation"
20480,"A 28-year-old woman presents to her primary care physician for her annual physical exam. She says that she has no updates about her health at this time. Her past medical history is significant for major depressive disorder for which she takes sertraline. Her temperature is 98.6°F (37°C), blood pressure is 115/71 mmHg, pulse is 62/min, and respirations are 15/min. On physical exam, she is found to have multiple bruises in different stages of healing on her upper arms, upper legs, and back. Small round lesions are seen on her hips and stomach. When asked about these lesions, she turns away and says that she is simply clumsy and ""always tripping."" Which of the following is the most appropriate response?
Options, A: ""Do you have a safe place to go if things get out of hand?""; B: ""Tell me more about what has been happening.""; C: ""Let us come up with a plan for you to escape this situation.""; D: ""I can call the police so that they can protect you.""; E: ""Who is doing this to you?"";",B,"Respect life, dignity of patients;Prevent patient from harm"
25632,"Explain how the principles of autonomy and beneficence can conflict in a healthcare setting when a patient refuses treatment.
Options, A: Autonomy allows patients to refuse treatment, while beneficence requires healthcare providers to act in the patient's best interest.; B: Beneficence allows patients to refuse treatment, while autonomy requires healthcare providers to act in the patient's best interest.; C: Both principles support the patient's right to refuse treatment without any conflict.; D: Beneficence is more important than autonomy in all healthcare decisions.;",A,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Give top priority to patient’s interest in conflict of interests"
24184,"Explain the rationale behind the position that allows abortion only in extreme cases such as rape or incest. What ethical considerations are typically involved?
Options, A: It prioritizes the mother's autonomy over the fetus's rights.; B: It is based solely on religious beliefs.; C: It suggests that all pregnancies should be carried to term regardless of circumstances.; D: It acknowledges the trauma and psychological impact on the victim.;",D,"Respect life, dignity of patients;Prevent patient from harm"
22908,"Explain how the principle of beneficence is questioned in the context of IVF procedures.
Options, A: It raises concerns about prioritizing research over patient well-being.; B: It focuses solely on patient autonomy.; C: It emphasizes the importance of informed consent.; D: It supports the destruction of embryos for research.;",A,Prevent patient from harm;Give top priority to patient’s interest in conflict of interests
21722,"What law protects an individual's personal rights which includes most health-care issues ?
Options, A: Civil law; B: Criminal law; C: Constitutional law;",A,"Respect life, dignity of patients;Comply with laws and regulations"
21280,"A dentist has an ethical obligation to report a colleague in all these situations except?
Options, A: working under substance abuse; B: abusing patients; C: advertising on electronic media;",C,Report unethical and unprofessional conduct;Respect and Cooperate with colleagues
24636,"Giving each patient his or her due; act fairly
Options, A: process that distributes benefits, risks, and costs fairly; B: ex A nurse is providing care for three clients on a medical unit, two of whom are significantly more acute than the third. The nurse is making a concerted effort to ensure that the less acute patient still receives a reasonable amount of time, attention, and care during the course of the shift. Which of the following is the nurse attempting to enact?; C: Justice;",C,Allocate medical sources fairly;Treat patients fairly and equally
20838,"Which of the following pillars of the Declaration of Helsinki is correctly paired with its definition?
Options, A: Justice - treat people who are different worse than people who are like you; B: Beneficence - try to harm others.; C: Best interest - do what is best for the researcher; D: Nonmaleficence - try not to do good.; E: Principilism - respect for others;",E,Ethical research
26074,"A 33-year-old female presents to the office with the complaint of chronic pelvic pain that began after she underwent a hysterectomy 6 months ago. Following a physical examination, a CT scan of the pelvis is ordered. After the scan is complete, the radiologist calls to report that the patient has a surgical sponge in her pelvis. In a subsequent malpractice suit, the plaintiff establishes that the sponge could not have been left unless there was negligence. The most appropriate term to represent the legal concept invoked by the patient is
Options, A: collateral estoppel; B: proximate cause; C: respondeat superior; D: res ipsa loquitur;",D,Prevent patient from harm;Provide professional medical care to patients
23267,"Which statement by the nurse indicates comprehension of ethical issues?
Options, A: Ethical issues have required The Joint Commission to mandate ethics committees.; B: Ethical issues are rare occurrences but take a great deal of time to resolve.; C: Ethical issues most frequently lead to legal intervention in patient care matters.; D: Ethical issues lead to ethics committees made up entirely by nurses.;",A,Give top priority to patient’s interest in conflict of interests
21605,"Which of the following statements is NOT true regarding a paramedic's responsibility at the crime scene?
Options, A: He or she should contact law enforcement officers if they are not on the scene.; B: He or she should not enter the scene unless it is safe.; C: He or she should document the movement of any item at the scene.; D: He or she should not disturb the scene unless it is necessary for patient care.; E: His or her primary responsibility is to preserve the evidence at the scene.;",E,Comply with laws and regulations;Provide professional medical care to patients
21978,"Explain the significance of the requirement 'capacity' in the context of informed consent in medical ethics.
Options, A: It ensures that the patient is aware of their rights.; B: It guarantees that the patient can make decisions without external pressure.; C: It allows healthcare providers to override patient decisions in emergencies.; D: It confirms that the patient has the mental ability to understand the information provided.;",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients;Respect the decision-making of incompetent/competent patient "
25985,"Indicate the correct answer in relation to the rights and duties on the custody, protection or transfer of data in a care relationship:
Options, A: Informed consent is essential for any health-related intervention, being especially necessary in cases of serious risk to the physical or psychological integrity of the patient or in cases of risk to public health.; B: The owner of the health information is the patient or user of the health system. In case of incapacity, the owner of the information will be the relatives connected to the patient for reasons of kinship or their legal representative, with no need to give the patient information adapted to their understanding or to obtain their explicit or tacit permission.; C: Personal data legally has the characteristic of being able to be used for a different purpose or one not compatible with the purpose for which they were collected, without legally obtaining the consent of the affected person, as long as the duty of confidentiality is not violated.; D: Users and patients of the health system have the obligation to provide the necessary data about their health status in a loyal manner, in accordance with truthfulness and contribute to its acquisition, especially in cases where it is necessary for healthcare reasons or matters of public interest.;",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Keep confidential of patient’s information"
22705,"If a student nurse realizes that they have made a medication error, the instructor should remind the student of which concept?
Options, A: The student bears no legal responsibility when administering medications.; B: Once the student has committed a medication error, their responsibility is to the patient and to being honest and accountable.; C: The major legal responsibility for medications errors lies with the faculty.; D: The major legal responsibility lies with the health care institution.;",B,"Maintain truthful, factual communication;Recognize the responsibility, dignity, honesty, integrity of the occupation;Prevent patient from harm"
25786,"Which of the following best describes the significance of privacy in healthcare settings?
Options, A: It ensures that patient information is accessible to all healthcare providers for better coordination.; B: It involves restricted access to personal health information to protect patient confidentiality.; C: It mandates that patient data is shared with third parties for research purposes without consent.; D: It allows patients to freely disclose their medical history to anyone involved in their care.;",B,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice;Keep confidential of patient’s information"
24157,"Explain the significance of the Whole-Brain View in the context of medical decision-making.
Options, A: It provides a clear criterion for determining death, impacting organ donation and end-of-life care.; B: It allows for the continuation of life support in patients with brain activity.; C: It suggests that death can be defined by the cessation of heart function.; D: It emphasizes the importance of patient autonomy in healthcare decisions.;",A,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients"
23443,"Which statement best describes vulnerability in respect to research participants?
Options, A: Someone who has a mental illness; B: Someone who has a child; C: Someone with diminished capacity to give informed consent or not completely free to give consent; D: An older adult;",C,"Ethical research;Respect the patient’s rights to be informed, informed consent and freedom of choice"
22629,"What approach facilitates collaborative decision-making in ethical dilemmas by emphasizing mutual respect and shared understanding among stakeholders rather than adhering to a specific ethical doctrine?
Options, A: Utilitarianism; B: Consensus building; C: Deontological ethics; D: Virtue ethics;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
25578,"The fraudulent practice of billing for services or supplies not provided is referred to as:
Options, A: ping ponging; B: phantom billing; C: yo-yoing; D: upcoding;",B,Comply with laws and regulations
21951,"Which of the following best describes the concept of prizing in the context of nursing ethics and values?
Options, A: A commitment to uphold patient autonomy and self-determination.; B: The ability to make ethical decisions despite facing moral distress.; C: An emotional response characterized by pride and public recognition of one's values.; D: A focus on providing culturally competent care to diverse populations.;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect the decision-making of incompetent/competent patient "
24273,"A patient is about to undergo a complex surgical procedure. The surgeon explains the risks, benefits, and alternatives to the patient, who then agrees to proceed. If the patient later claims they were not adequately informed, which aspect of informed consent could be questioned?
Options, A: Whether the patient was coerced into giving consent.; B: Whether the patient had sufficient time to consider their decision.; C: Whether the surgeon was qualified to perform the procedure.; D: Whether the information provided was complete and understandable.;",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
22010,"Ethics are:
Options, A: Rules that don't apply to clinical practice; B: Moral statutes of law; C: Rules of conduct for a profession;",C,"Recognize the responsibility, dignity, honesty, integrity of the occupation"
25430,"A nurse fails to monitor a patient’s vital signs post-surgery, leading to complications. Which component of professional negligence does this scenario most directly illustrate?
Options, A: Duty to patient; B: Damages; C: Direct cause; D: Dereliction;",D,Prevent patient from harm;Provide professional medical care to patients
23857,"What is the typical classification for violations of healthcare regulations that involve unethical conduct by a radiographer?
Options, A: Felonies; B: Civil infractions; C: Misdemeanors; D: Administrative violations;",C,Report unethical and unprofessional conduct;Comply with laws and regulations
21773,"Explain how the principle of general neediness aligns with the concept of egalitarianism in healthcare resource allocation.
Options, A: It focuses on maximizing profits for healthcare providers.; B: It aims to ensure that all patients receive the same level of care regardless of need.; C: It seeks to elevate the well-being of the neediest individuals to match that of others.; D: It prioritizes patients based on their ability to pay for services.;",C,Allocate medical sources fairly;Treat patients fairly and equally
24904,"The field of bioethics primarily focuses on the ethical issues arising from advancements in medical technology and biological research: true or false?
Options, A: true; B: false;",A,Ethical research
21787,"What is the primary reason healthcare providers must respect and acknowledge the feelings and beliefs of their patients?
Options, A: To recognize the patient's dignity and humanity; B: To enhance the provider's reputation; C: To ensure compliance with treatment; D: To reduce the risk of malpractice lawsuits;",A,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice"
22934,"In the famous case in Riverside, California in the 1980s, Elizabeth Bouvia was ultimately granted the ability to:
Options, A: be euthanized; B: refuse treatment; C: commit suicide; D: receive physician-assisted death;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients;Respect the decision-making of incompetent/competent patient "
25361,"A physician-patient relationship:
Options, A: Is established by contract; B: Is temporary; C: Is permanent; D: Cannot be subject to a breach of contract legal action;",A,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
22402,"HIPAA became effective in:
Options, A: April 2003; B: April 2002; C: August 2002; D: August 2003;",A,Comply with laws and regulations;Keep confidential of patient’s information
24112,"The family of a dying patient has agreed that therapy will be withdrawn. However, they are now asking how this will occur. Which of the following would be the most accurate explanation of which therapies may be discontinued and when that will happen?
Options, A: Once the decision is made, all therapies are discontinued simultaneously when the family is ready.; B: Nourishment such as food and fluid by IV and oro-gastric tube is never withdrawn.; C: Decisions are based on what is causing the patient discomfort or prolonging the dying process.; D: Laboratory testing is usually continued so that medications may be safely administered.;",C,"Respect life, dignity of patients"
21350,"_____ is a situation in which someone takes action to bring about another person's death, with the intention of ending that person's suffering.
Options, A: passive euthanasia; B: active euthanasia;",B,"Respect life, dignity of patients;Prevent patient from harm"
21922,"The code of ethics for nurses is a set of ethical principles that all members of the profession generally accept. Elements within the code include:
Options, A: Continuing education requirements, staffing ratios, & compensation guidelines; B: Historical foundations of nursing as defined by Florence Nightingale; C: Research about best practices in a variety of health care settings; D: Principles including responsibility, accountability, competency & advocacy;",D,"Recognize the responsibility, dignity, honesty, integrity of the occupation;Maintain qualified when providing medical care"
20988,"Consent that is given orally or in writing is
Options, A: Informed consent; B: Implied consent; C: Expressed consent; D: Not legally binding;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients"
22679,"Two student nurses in the elevator are discussing the HIV-positive status of a client. One of the clients' family members is in the elevator and overhears the conversation between the student nurses. Which of the following statements is true?
Options, A: The state board of nursing can discipline the students' license.; B: The students have violated the Health Insurance Portability and Accountability Act.; C: The client can sue the student nurses for slander and libel.; D: The students have violated the Emergency Medical Treatment and Active Labor Act.;",B,"Respect life, dignity of patients;Comply with laws and regulations;Keep confidential of patient’s information"
20911,"Which of the following principles from the APA Ethics Code conveys the notion that psychologists recognize, respect, and incorporate knowledge about human diversity into their practice?
Options, A: Integrity; B: Beneficence and Nonmaleficence; C: Respect for People's Rights and Dignity; D: Fidelity and Responsibility; E: Justice;",C,Treat patients fairly and equally
24803,"In the context of ethical decision-making in healthcare, which of the following statements best reflects the hierarchy of ethical principles as outlined in the 3 Maxims?
Options, A: A) Beneficence should always take precedence over respect for autonomy.; B: B) The principle of nonmaleficence is prioritized only when the potential harm is equal to the benefits.; C: D) The interests of others may override respect for autonomy when harm is a potential outcome.; D: C) Respect for autonomy is the most important principle, even if it conflicts with the interests of others.;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Prevent patient from harm"
23351,"Explain why accurate charting is essential in the practice of medical imaging and radiation therapy.
Options, A: It helps in marketing the services; B: It is a requirement for patient satisfaction surveys; C: It is only necessary for billing purposes; D: It serves as a legal document that can protect healthcare professionals;",D,"Maintain truthful, factual communication"
23980,"Full disclosure in relation to obtaining informed consent for a research study includes:
Options, A: Informing the client of what type of research design is being used; B: Providing monetary reimbursement to the client for their time involved; C: Informing the client of any possible risks and benefits; D: Having the client sign a disclaimer for any harm that may occur due to the study;",C,"Ethical research;Respect the patient’s rights to be informed, informed consent and freedom of choice"
21746,"Explain how the Duties of Gratitude can influence the relationship between healthcare providers and their patients.
Options, A: It encourages providers to prioritize their own needs over those of patients.; B: It mandates that providers must always disclose their personal biases.; C: It fosters a sense of appreciation and respect, enhancing trust and cooperation.; D: It requires providers to treat all patients with indifference.;",C,"Respect life, dignity of patients;Maintain a professional relationship with patients and their relatives"
22975,"If a patient's health is being compromised by the decisions of their family, the nurse has an ethical responsibility to...
Options, A: Remain neutral because nurses must respect the privacy of the patient; B: Remain neutral because the family is the substitute decision maker and has a right to change the patient's decisions; C: Remain neutral because to intervene would be mean disrespecting the culture of those who value collective family decision making; D: Advocate for the patient by helping the family understand the patient's decisions;",D,"Respect life, dignity of patients;Give top priority to patient’s interest in conflict of interests"
21447,"If a physician fails to maintain confidentiality regarding a patient's medical condition, what potential impact could this have on the physician-patient relationship?
Options, A: It may lead to patients feeling betrayed and less likely to share important health information.; B: It could strengthen the trust between the physician and patient.; C: It would have no effect on the relationship.; D: It could result in increased patient satisfaction.;",A,"Respect life, dignity of patients;Maintain a professional relationship with patients and their relatives;Keep confidential of patient’s information"
20511,"A 9-year-old girl has recently begun having daily staring-spells in which she becomes unresponsive for several seconds. Following these episodes, she rapidly returns to normal with no recollection of the event. Her performance in school has begun to deteriorate. The child's pediatrician refers her to a pediatric neurologist, and, after an appropriate neurological work-up, the child is diagnosed with absence seizures. Her neurologist recommends initiating an anti-seizure medication, but the patient adamantly refuses due to fear of side effects and her belief that the condition is not affecting her quality of life. Which of the following is the most appropriate next step?
Options, A: Do not initiate therapy at this time; B: Prescribe a long acting depot medication; C: Discuss the patient's school performance with her teachers; D: Obtain consent from one parent before initiating therapy; E: Obtain consent from both parents before initiating therapy;",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
22991,"Disciplinary actions should be:
Options, A: subjective; B: punitive; C: fault finding; D: corrective;",D,Report unethical and unprofessional conduct;Comply with laws and regulations
22622,"The American Nurses Association Code of Ethics includes statements about the protection of a patient's privacy. If an RN had a rare photograph of an unusual wound (with no other identifiers), could the nurse post the photo on a social media sharing site for educational purposes?
Options, A: No, since the nurse is using a social media site for education; B: Yes, since the purpose is education; C: Yes, since any identifiable labels have been removed.; D: No, since this is a violation of HIPAA and the patient's right to privacy;",D,"Respect life, dignity of patients;Comply with laws and regulations;Keep confidential of patient’s information"
25551,"Telling the truth- promotes the trust in the nurse-client therapeutic relationship.
Options, A: Deontology; B: Utilitarianism; C: Consequentialism; D: Veracity;",D,"Maintain truthful, factual communication"
24521,"A paramedic encounters a patient who is violently resisting treatment and poses a threat to the crew. What should the paramedic do regarding the application of forcible restraint?
Options, A: Assess the situation and apply restraint if necessary, ensuring it remains until the patient is safe.; B: Apply restraint immediately and remove it once the patient calms down.; C: Call for police assistance before applying any restraint.; D: Document the incident but do not apply any restraint.;",A,Comply with laws and regulations;Prevent patient from harm
20740,"What is NOT a professional code of conduct for clinical research?
Options, A: Good clinical practice; B: International Ethical Guidelines for Health-related Research Involving Humans; C: Declaration of Helsinki; D: Important research practice;",D,Ethical research
20946,"In the context of medical ethics and legal responsibilities, what constitutes assault in a healthcare setting?
Options, A: A physical attack on a patient; B: Verbal threats or intimidation towards a patient; C: Failure to provide necessary medical care; D: Informed consent obtained under pressure;",B,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice"
22406,"In which scenario is implied consent typically applicable in a medical setting?
Options, A: When a patient explicitly agrees to a procedure after a detailed explanation; B: When a patient signs a consent form for a routine check-up; C: When a patient verbally refuses treatment but is still treated; D: When a patient is unconscious and requires immediate medical intervention;",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Provide Assistance in Emergency"
25588,"Dr. Moden is trying to decide whether he should disclose the genetic test results from one of his adult patients to their parent. Which moral principle is Dr. Moden navigating?
Options, A: Veracity; B: Privacy; C: Confidentiality; D: Fidelity;",C,"Maintain truthful, factual communication;Respect the patient’s rights to be informed, informed consent and freedom of choice;Keep confidential of patient’s information"
