index,category,four_pillars,detailed_principles
10,managing and minimizing conflicts of interest,beneficence,"CMA 22. Recognize that conflicts of interest may arise as a result of competing roles (such as financial, clinical, research, organizational, administrative, or leadership).  
CMA 23. Enter into associations, contracts, and agreements that maintain your professional integrity, consistent with evidence informed decision-making, and safeguard the interests of the patient or public.  
CMA24. Avoid, minimize, or manage and always disclose conflicts of interest that arise, or are perceived to arise, as a result of any professional relationships or transactions in practice, education, and research; avoid using your role as a physician to promote services (except your own) or products to the patient or public for commercial gain outside of your treatment role.  
CMA25. Take reasonable steps to ensure that the patient understands the nature and extent of your responsibility to a third party when acting on behalf of a third party.  
CMA 27. When conducting research, inform potential research participants about anything that may give rise to a conflict of interest, especially the source of funding and any compensation or benefits.
AuMA 4.2.2: Refrain from entering into any contract with a colleague or organization which you consider may conflict with your professional autonomy, clinical independence or your primary obligation to the patient.  
Physicians must not allow their individual professional judgement to be influenced by the possibility of benefit to themselves or their institution. The physician must recognize and avoid real or potential conflicts of interest. Where such conflicts are unavoidable, they must be declared in advance and properly managed. (WMA: 5)
Healthcare practitioners should declare to their patients – verbally and by a displayed notice – any pecuniary interest they have in institutions, diagnostic equipment, or the like to which they make referrals. (HPCSA Booklet 1. 5.9.3)
Healthcare practitioners must not harm or act against the best interests of patients, even when the interests of the latter conflict with their own self-interest. (HPCSA Booklet 1. 2.3.2.2)"
11,maintain a professional relationship with patients and their relatives,autonomy,"AuMA 2.4: Patients’ family members, carers and significant others  
2.4.1 Treat the patient’s family members, carers and significant others with respect.  
2.4.2 Recognize that the patient’s family members and carers may also need support, particularly where the patient’s condition is serious or life-limiting. Provide them with information regarding respite care, bereavement care, carer’s support and other relevant services, where appropriate.
2.   AuMA 2.1.10: Respect the fact that a patient may have more than one established doctor-patient relationship.
3.   AuMA 2.1.16 Avoid providing care to anyone with whom you have a close personal relationship, where possible.
AuMA 2.1.17 Facilitate the ongoing care of your patients, including the management of their medical records, if closing or relocating your practice.
AuMA 2.1.9 Facilitate coordination and continuity of care.
AuMA 2.1.12 Recognize that you may decline to continue a therapeutic relationship if it becomes ineffective or compromised. Under such circumstances, you can discontinue the relationship if an alternative health care provider is available and the situation is not an emergency one. You must inform the patient so that they may seek care elsewhere and assist in facilitating arrangements for their continuing care.
Healthcare practitioners must treat patients politely and with consideration (respect), and not engage in improper relationships with their patients/clients and those who may be accompanying the patient. (HPCSA Booklet 1. 5.2.2, 5.2.4)
Maintain a professional relationship with patients and their relatives and not abuse this relationship through inappropriate personal relationships or for personal gain. (Singapore: (b):iii)
Commit to collaborative and respectful relationships with Indigenous patients and communities through efforts to understand and implement the recommendations relevant to health care made in the report of the Truth and Reconciliation Commission of Canada. (CMA: 43)
AuMA 3.1.8: Maintain appropriate professional boundaries with patients and their close family members, not entering into sexual, exploitative or other inappropriate relationships.
Limit treatment of yourself, your immediate family, or anyone with whom you have a similarly close relationship to minor or emergency interventions and only when another physician is not readily available; there should be no fee for such treatment. (CMA: 7)"
12,provide professional medical care to patients,beneficence,"Be dedicated to providing medical care that is competent, compassionate and of a quality that is accepted by the profession.(Singapore: (a):iii)
The primary duty of the physician is to promote the health and well-being of individual patients by providing competent, timely, and compassionate care in accordance with good medical practice and professionalism. (WMA: 1)
A physician shall be dedicated to providing competent medical care, with compassion and respect for human dignity and rights. (AMA: 1)
Save the dying and the wounded, practice socialist humanitarianism, always think of the patients, and do everything possible to relieve their pain. (China: 1)"
13,promote the health of community and public education,justice,"Do what you can to protect and promote the health of individuals and the community, including contributing to patient and public education. (Singapore: (c):v)
A physician shall recognize a responsibility to participate in activities contributing to the improvement of the community and the betterment of public health. (AMA: 7)
The physician should respect the spirit of public service that characterizes health care, contribute to the development of society while abiding by legal standards and establishing legal order. (JMA: 5)
Contribute, individually and in collaboration with others, to improving health care services and delivery to address systemic issues that affect the health of the patient and of populations, with particular attention to disadvantaged, vulnerable, or underserved communities. (CMA: 44)
Provide opinions consistent with the current and widely accepted views of the profession when interpreting scientific knowledge to the public; clearly indicate when you present an opinion that is contrary to the accepted views of the profession. (CMA: 41)
When providing scientific information to the public, recognise a responsibility to give the generally held opinions of the profession in a form that is readily understood. When presenting any personal opinion which is contrary to the generally held opinion of the profession, indicate that this is the case. (AuMA: 4.3.3)
AuMA 4.6.1: Endeavour to improve the standards and quality of, and access to, medical services in the community.
Support the profession’s responsibility to act in matters relating to public and population health, health education, environmental determinants of health, legislation affecting public and population health, and judicial testimony. (CMA: 39)
Accept a share of the profession’s responsibility to society in matters relating to the health and safety of the public, health education and literacy and legislation affecting the health of the community. (AuMA: 4.3.2)
AuMA 4.1.1 Participate in activities that contribute to the health of the community and the wider public health. These can include matters relating to health education, environmental protection, public health and legislation impacting on health. 
The physician shall promote the improvement of health conditions and medical service standards, and take part in responsibilities in relation to public health, health education, and health legislation. (Brazil ART.14)
Healthcare practitioners should strive to contribute to the betterment of society in accordance with their professional abilities and standing in the community. (HPCSA Booklet 1. 2.3.12)"
14,respect the decision-making of incompetent/competent patient ,autonomy,"Empower the patient to make informed decisions regarding their health by communicating with and helping the patient (or, where appropriate, their substitute decision-maker) navigate reasonable therapeutic options to determine the best course of action consistent with their goals of care; communicate with and help the patient assess material risks and benefits before consenting to any treatment or intervention. (CMA: 11)
Respect the decisions of the competent patient to accept or reject any recommended assessment, treatment, or plan of care. (CMA: 12)
Recognize the need to balance the developing competency of minors and the role of families and caregivers in medical decision-making for minors, while respecting a mature minor’s right to consent to treatment and manage their personal health information. (CMA: 13)
Accommodate a patient with cognitive impairments to participate, as much as possible, in decisions that affect them; in such cases, acknowledge and support the positive roles of families and caregivers in medical decision-making and collaborate with them, where authorized by the patient’s substitute decision-maker, in discerning and making decisions about the patient’s goals of care and best interests. (CMA: 14)
Respect the values and intentions of a patient deemed incompetent as they were expressed previously through advance care planning discussions when competent, or via a substitute decision-maker. (CMA: 15)
When the specific intentions of an incompetent patient are unknown and in the absence of a formal mechanism for making treatment decisions, act consistently with the patient’s discernable values and goals of care or, if these are unknown, act in the patient’s best interests. (CMA: 16)
Respect the patient’s reasonable request for a second opinion from a recognized medical expert. (CMA: 17)
Refuse to perform medical practices, although allowed by law, that are contrary to his/her conscience. (Brazil ART. 28)
The physician is forbidden to disregard the right of the patient to decide freely about the performance of diagnostic or therapeutic practices, except in cases of imminent loss of life. (Brazil ART. 56)
Healthcare practitioners should respect the right of patients to be fully involved in decisions about their treatment and care, even if they are not legally competent to give the necessary consent. (HPCSA Booklet 1. 5.5.1)
1. AuMA: 2.3 Patients with limited, impaired or fluctuating decision-making capacity
2.3.1 Presume an adult patient has decision-making capacity, the ability to make and communicate a decision, unless there is evidence to the contrary.  
2.3.2 Recognise that some patients may have limited, impaired or fluctuating decision-making capacity. As such, any assessment of capacity for health care decision-making is relevant to a specific decision at a specific point in time.  
2.3.3 Respect the patient’s ability to participate in decisions consistent with their level of capacity at the time a decision needs to be made. This includes decisions involving their health care as well as the use and disclosure of their personal information.  2.3.4 Recognise that some patients will have capacity to make a supported decision while others will require a substitute decision-maker.  
2.3.5 Recognise that a competent minor may have the capacity to make a specific health care decision on their own behalf."
15,allocate medical sources fairly,justice,"Strive to use resources efficiently and balance your duty of care to patients with your duty of care to the community and wider population (distributive justice). (Singapore: (c):iii)
The physician must strive to use health care resources in a way that optimally bene-ts the patient, in keeping with fair, just, and prudent stewardship of the shared resources with which the physician is entrusted. (WMA: 3)
While respecting personal autonomy, the physician will act in accordance with the principle of treatment efficacy, taking into consideration the equitable use of resources. (Eur. 8)
A physician shall support access to medical care for all people. (AMA: 9)
The physician calls on all the resources of medical science to apply them appropriately to his patient. (Eur. 7)
Support the profession’s responsibility to promote equitable access to health care resources and to promote resource stewardship. (CMA: 40)
The process to allocate scarce healthcare resources shall be transparent, inclusive, accountable, and consistent throughout the period. Fairness: Each person’s interest should count equally, irrespective of race, ethnicity, creed or gender. Equity: Allocation of resources shall be impartial regardless of patient’s social circumstances and ability. (HPCSA Booklet 1. 5.8.1, 5.8.2)"
16,"recognize the responsibility, dignity, honesty, integrity of the occupation",beneficence,"A physician shall uphold the standards of professionalism, be honest in all professional interactions, and strive to report physicians deficient in character or competence, or engaging in fraud or deception, to appropriate entities. (AMA: 2)
A physician shall, while caring for a patient, regard responsibility to the patient as paramount.(AMA: 8)
Physicians should be aware of the dignity and responsibility of their occupation and strive to enhance their cultural refinement, education, and integrity. (JMA: 2)
I shall practice my profession with utmost conscience & dignity. (IMA: 3)
Having accepted professional responsibility for the patient, continue to provide services until these services are no longer required or wanted, or until another suitable physician has assumed responsibility for the patient, or until after the patient has been given reasonable notice that you intend to terminate the relationship. (CMA: 1)
AuMA 3.1.2: Build a professional reputation based on integrity and ability.
Assume responsibility for your personal actions and behaviours and espouse behaviours that contribute to a positive training and practice culture. (CMA: 34)
Healthcare practitioners must always regard concern for the best interests or well-being of their patients as their primary professional duty. (HPCSA Booklet 1. 5.1.1)
Healthcare practitioners should incorporate core ethical values and standards as the foundation for their character and practice. (HPCSA Booklet 1. 2.3.5)"
17,"maintain truthful, factual communication",autonomy,"Maintain good communications, whether written, verbal or in any other form, between you and your patients or colleagues. (Singapore: (b):v)
Be open, truthful, factual and professionally modest in communications with other members of the profession, with patients and with the public at large. (Singapore: (b)vi)
Communicate information accurately and honestly with the patient in a manner that the patient understands and can apply, and confirm the patient’s understanding. (CMA: 5)
Maintain professionalism in informing the public about services, ensuring that information projected is devoid of any exaggerated or deceptive content. (Singapore: (b):7)"
18,keep confidential of patient’s information,autonomy,"Keep confidential (apart from legitimate disclosures) all medical information about patients. (Singapore: (b):iv)
The physician is the patient's essential confidant. He betrays this confidence on revealing what he has learned from the patient. (Eur. 5)
A physician shall respect the rights of patients, colleagues, and other health professionals, and shall safeguard patient confidences and privacy within the constraints of the law. (AMA: 4)
Keep medical secrets for patients, implement protective medical treatment, and do not disclose patients' privacy and secrets. (China: 5)
I shall respect the privacy & secrets of my patients that are confided in me for professional reasons. (IMA: 5)
Fulfill your duty of confidentiality to the patient by keeping identifiable patient information confidential; collecting, using, and disclosing only as much health information as necessary to benefit the patient; and sharing information only to benefit the patient and within the patient’s circle of care. Exceptions include situations where the informed consent of the patient has been obtained for disclosure or as provided for by law. (CMA: 18)
Provide the patient or a third party with a copy of their medical record upon the patient’s request, unless there is a compelling reason to believe that information contained in the record will result in substantial harm to the patient or others. (CMA: 19)
Recognize and manage privacy requirements within training and practice environments and quality improvement initiatives, in the context of secondary uses of data for health system management, and when using new technologies in clinical settings. (CMA: 20)
Avoid health care discussions, including in personal, public, or virtual conversations, that could reasonably be seen as revealing confidential or identifying information or as being disrespectful to patients, their families, or caregivers.(CMA: 21)
The physician shall keep information, obtained during the practice of his profession, confidential. The same applies to his/her work with businesses, except in cases when such information damages or poses a risk to the health of an employee, or the community. (Brazil ART.11)
The physician is forbidden to reveal a professional secret relating to a minor, including to his/her parents or legal representatives, as long as the minor is capable of resolving his/her problem by his/her own means, except when the lack of revelation could imply damage to the patient. (Brazil ART. 103)
The physician is forbidden to make reference to identifiable clinical cases, exhibit patients or their photographs in professional announcements or during medical programs on radio, television or movies, as well as in articles, interviews or newspaper reports, magazines or other publications not specific to Medicine. (Brazil ART. 104)
Healthcare practitioners must treat personal or private information as confidential in professional relationships with patients - unless overriding reasons confer an ethical or legal obligation to disclosure. (HPCSA Booklet 1. 2.3.7)
AuMA 2.2 Protection of patient information  
2.2.1 Respect the patient’s right to know what information is held about them, their right to access their medical records and their right to have control over its use and disclosure, with limited exceptions.  
2.2.2 Maintain the confidentiality of the patient’s personal information including their medical records, disclosing their information to others only with the patient’s express up-to-date consent or as required or authorised by law. This applies to both identified and de-identified patient data.  
2.2.3 Maintain accurate, contemporaneous medical records.  
2.2.4 Ensure patient information is kept secure.  
2.2.5 Facilitate arrangements for accessing, transferring and storing medical records upon retirement."
19,give top priority to patient’s interest in conflict of interests,beneficence,"Uphold patients’ welfare and best interests as your highest consideration. (Singapore: (a):ii)
The physician agrees to give priority to the interest of the patient's health. (Eur. 2)
A physician shall respect the law and also recognize a responsibility to seek changes in those requirements which are contrary to the best interests of the patient. (AMA: 3)
AuMA: 3.5 Managing conflicts of interests
3.5.1 Ensure your financial or other interests are secondary to your primary duty to serve patients’ interests. Financial and other interests should not compromise, or be perceived to compromise, your professional judgement, capacity to serve patients’ interests or the community’s trust in the integrity of the medical profession.  
3.5.2 Disclose your financial or other interests that may affect, or be perceived to affect, patient care.  
3.5.3 If you refer a patient to a facility, or recommend a treatment or product in which you have a financial interest, inform them of that interest and provide the patient with other options, where possible.  
3.5.4 If you work in a practice or institution, place your professional duties and responsibilities to patients above the commercial interests of the owners or others who work within these practices. 
5.    2.1.1 Consider first the well-being of the patient."
20,treat patients fairly and equally,justice,"Treat patients fairly and not allow moral bias or prejudices made on account of patients’ habits or lifestyles to influence the way you manage them. (Singapore: (c):ii)
Provide access to good medical care and treat patients without unfair discrimination, prejudice or personal bias against any characteristic of patients, for example, gender, race, religion, creed, social or economic standing, disability or sexual orientation. (Singapore: (c):i)
The physician must practice medicine fairly and justly and provide care based on the patient’s health needs without bias or engaging in discriminatory conduct on the basis of age, disease or disability, creed, ethnic origin, gender, nationality, political affiliation, race, culture, sexual orientation, social standing, or any other factor. (WMA: 2)
The physician gives the patient the most essential and appropriate care, without any discrimination. (Eur. 3)
Respect the personality and rights of patients, and treat all patients equally regardless of their ethnicity, gender, occupation, status, or financial status. (China: 2)
I am committed to ensure that the selective sex selection is stopped at all levels and by all means. (IMA: 12)
I shall hold diligent regards to cultural diversity and pluralism. (IMA: 10)
Accept the patient without discrimination (such as on the basis of age, disability, gender identity or expression, genetic characteristics, language, marital and family status, medical condition, national or ethnic origin, political affiliation, race, religion, sex, sexual orientation, or socioeconomic status). This does not abrogate the right of the physician to refuse to accept a patient for legitimate reasons. (CMA: 1)
AuMA 4.6.2: Provide care impartially and without discrimination on the basis of age, disease or disability, creed, religion, ethnic origin, gender, nationality, political affiliation, race, sexual orientation, criminal history, social standing or any other similar criteria.
Practice Medicine without being discriminated against in terms of religion, race, sex, nationality, color, sexual choice, social status, political opinion, or for any other reason. (Brazil ART.20)
The physician is forbidden to discriminate against a human being in any way or under any pretext. (Brazil ART.47)
Healthcare practitioners should be aware of the rights and laws concerning unfair discrimination in the management of patients or their families on the basis of race, culture, ethnicity, social status, lifestyle, perceived economic worth, age, gender, disability, communicable disease status, sexual orientation, religious or spiritual beliefs, or any condition vulnerability. (HPCSA Booklet 1. 5.6)"
21,comply with laws and regulations,beneficence,"I have read & agreed to abide by regulations under Indian Medical Council act, especially Professional, Etiquette & Ethics) Regulations 2002 and its subsequent amendments. (IMA: 1)
I shall faithfully comply with all the Regulatory and Statutory stipulations. (IMA: 13)
I shall not indulge in any activities that are immoral, unethical or illegal in the eyes of the applicable governing laws and also the prudence. (IMA: 15)
A physician shall respect the law and also recognize a responsibility to seek changes in those requirements which are contrary to the best interests of the patient. (AMA: 3)
The physician is forbidden not to abide by specific legislation on organ or tissue transplants, sterilization, artificial insemination, and abortion. (Brazil ART.43)"
22,ethical research,beneficence,"AuMA 2.5 Clinical research  
2.5.1 Endeavour to participate in properly designed, ethically approved research involving human participants in order to advance medical progress.  
2.5.2 Recognise that the rights and interests of the individual research participant takes precedence over the interests of others including the research team, affiliated institutions, funders and the broader community.  
2.5.3 Make sure that all research participants are fully informed and have consented to participate in the study.  
2.5.4 Seek patient consent to inform treating doctors of the involvement of patients under their care in any research project, the nature of the project and its ethical basis.  
2.5.5 Respect the patient's right to withdraw from a study at any time without prejudice to medical treatment.  
2.5.6 Make sure that the patient's decision not to participate in a study does not compromise the doctor-patient relationship or appropriate treatment and care.  
2.5.7 Ensure that research results are reviewed by an appropriate peer group before public release.
Ensure that any research to which you contribute is evaluated both scientifcally and ethically and is approved by a research ethics board that adheres to current standards of practice. When involved in research, obtain the informed consent of the research participant and advise prospective participants that they have the right to decline to participate or withdraw from the study at any time, without negatively affecting their ongoing care. (CMA: 9)
The physician is forbidden to promote medical research in the community without knowledge by the community and with a purpose not directed at public health, in consideration of local characteristics. (Brazil ART. 125)
The physician is forbidden to perform medical research on individuals without having submitted the protocol for approval and monitoring of a commission not subject to any entity related to the researcher. (Brazil ART. 127)
The physician is forbidden to perform medical research on volunteers, healthy or not, who have a direct or indirect relation of dependency or subordination with the researcher. (Brazil ART. 128)
The physician is forbidden to perform or participate in medical research in which there is a need to suspend or to stop using recognized treatment, thereby harming the patient. (Brazil ART. 129)
The physician is forbidden to perform experiments with new clinical or surgical treatment on incurable or terminal patients, without reasonable hope for positive effects, imposing additional suffering. (Brazil ART. 130)
The physician is forbidden to participate in any type of experiment with human beings with warlike, political, racial, or eugenic reasons. (Brazil ART. 122)
The physician is forbidden to perform research on an individual, without his/her express consent in writing, after having had the nature and consequence of research duly explained. (Brazil ART. 123)
The physician is forbidden to use any type of experimental treatment, not approved for use in the country, without due authorization by competent authorities and without the consent of the patient or his legal representative, duly informed of the situation and possible consequences. (Brazil ART. 124)"
